seller_id,total_revenue,total_cost,total_profit,avg_cm_pct,order_count,avg_review_score,seller_state,seller_city,seller_segment,revenue_rank,margin_rank,revenue_share_pct
0015a82c2db000af6aaaf3ae2ecb0532,2748.06,1942.56,805.5,29.311587083251457,3,3.6666666666666665,SP,santo andre,"Star (High Rev, High Margin)",926,21,0.01781998360414438
001cca7ae9ae17fb1caed9dfb1094831,32968.36,25664.231,7304.129000000002,22.143970840889704,194,4.0785340314136125,ES,cariacica,"Risk (High Rev, Low Margin)",85,2174,0.21378559225618418
002100f778ceb8431b7a1020ff7ab48f,2093.36,1704.05,389.3100000000002,17.349098561462093,49,3.938775510204082,SP,franca,"Risk (High Rev, Low Margin)",1065,2834,0.01357453653761988
003554e2dce176b5555353e4f3555ac8,139.38,103.38,36.0,25.828669823504093,1,5.0,GO,goiania,"Growth (Low Rev, High Margin)",2586,893,0.0009038191723418136
004c9cd9d87a3c30c522c48c4fc07416,22951.07,17115.548,5835.522000000001,25.247261543543065,155,4.1568627450980395,SP,ibitinga,"Star (High Rev, High Margin)",129,1102,0.1488277880022889
00720abe85ba0859807595bbf045a33b,1372.43,1056.4099999999999,316.0200000000001,21.839953507908078,13,3.6153846153846154,SP,guarulhos,"Risk (High Rev, Low Margin)",1314,2240,0.008899616492302162
00ab3eff1b5192e5f1a63bcecfee11c8,110.08,80.67999999999999,29.400000000000006,26.70784883720931,1,5.0,SP,sao paulo,"Growth (Low Rev, High Margin)",2661,561,0.0007138213121781234
00d8b143d12632bad99c0ad66ad52825,137.1,111.3,25.799999999999997,18.818380743982495,1,5.0,MG,belo horizonte,"Exit (Low Rev, Low Margin)",2590,2727,0.0008890343559195195
00ee68308b45bc5e2660cd833c3f81cc,23290.079999999998,17264.663,6025.417,25.28890071538702,133,4.295454545454546,SP,sao paulo,"Star (High Rev, High Margin)",125,1090,0.15102612160550025
00fc707aaaad2d31347cf883cd2dfe10,15155.84,11306.01,3849.8300000000004,25.54572612075341,102,4.094059405940594,PR,maringa,"Star (High Rev, High Margin)",205,1000,0.09827908426564035
010543a62bd80aa422851e79a3bc7540,1447.95,1023.1499999999999,424.8000000000001,29.33844832973594,2,4.5,SP,sao paulo,"Star (High Rev, High Margin)",1278,19,0.009389331113447618
010da0602d7774602cd1b3f5fb7b709e,1079.75,824.9,254.85000000000002,23.60268580689975,1,1.0,SP,sao bernardo do campo,"Risk (High Rev, Low Margin)",1464,1735,0.007001712952619265
011b0eaba87386a2ae96a7d32bb531d1,129.16,99.166,29.994,23.222359863734905,1,4.0,SP,pompeia,"Exit (Low Rev, Low Margin)",2615,1855,0.0008375468811857414
01266d4c46afa519678d16a8b683d325,137.48,110.405,27.074999999999996,17.832725947503835,3,5.0,PR,curitiba,"Exit (Low Rev, Low Margin)",2589,2801,0.0008914984919899018
013900e863eace745d3ec7614cab5b1a,2096.35,1603.46,492.89000000000004,23.45400296824516,23,4.695652173913044,PR,curitiba,"Risk (High Rev, Low Margin)",1062,1780,0.013593925397752626
014c0679dd340a0e338872e7ec85666a,7686.31,5568.91,2117.4000000000005,27.193956335814825,14,3.857142857142857,MG,timoteo,"Star (High Rev, High Margin)",452,394,0.0498424045240537
014d9a685fd57276679edd00e07089e5,938.91,711.252,227.65800000000007,24.045260981165658,10,4.0,PR,maringa,"Exit (Low Rev, Low Margin)",1548,1567,0.006088426310112298
0176f73cc1195f367f7b32db1e5b3aa8,5991.46,4577.68,1413.78,23.729637271721973,36,4.083333333333333,SP,ibitinga,"Risk (High Rev, Low Margin)",557,1690,0.038852033421718196
01bcc9d254a0143f0ce9791b960b2a47,1644.69,1226.7269999999999,417.9630000000001,25.397693484305037,10,4.4,GO,uruacu,"Star (High Rev, High Margin)",1189,1058,0.010665105141045038
01c97ebb5cdac52891c0ed1c37ba0012,756.0,582.75,173.25000000000006,21.078947444556963,9,4.222222222222222,SP,catanduva,"Exit (Low Rev, Low Margin)",1695,2411,0.0049023338663395834
01cf7e3d21494c41fb86034f2e714fa1,11404.01,8572.142,2831.8680000000004,24.542758026033304,59,4.120689655172414,PR,francisco beltrao,"Star (High Rev, High Margin)",302,1386,0.07395008523158104
01ed254b9ff8407dfb9d99ba1e17d923,1533.71,1093.913,439.797,28.31262882372247,5,5.0,SP,mogi das cruzes,"Star (High Rev, High Margin)",1247,151,0.009945447717121273
01fd077212124329bac32490e8ef80d9,1983.94,1572.33,411.61,19.92899571812105,31,4.161290322580645,SP,ribeirao preto / sao paulo,"Risk (High Rev, Low Margin)",1087,2604,0.012864995040721895
01fdefa7697d26ad920e9e0346d4bd1b,17577.84,13125.090999999999,4452.749000000001,24.873719989487427,128,4.377952755905512,PR,londrina,"Star (High Rev, High Margin)",167,1253,0.11398470943002456
0241d4d5d36f10f80c644447315af0bd,37377.51,28134.825999999997,9242.684000000001,24.071093982632323,230,4.399563318777292,PR,curitiba,"Risk (High Rev, Low Margin)",76,1557,0.24237702792651644
0249d282d911d23cb8b869ab49c99f53,570.03,441.75,128.28000000000003,21.659916299370995,11,4.2727272727272725,SP,sao paulo,"Exit (Low Rev, Low Margin)",1854,2284,0.0036963986426316827
024b564ae893ce8e9bfa02c10a401ece,918.4000000000001,706.48,211.92000000000002,23.441160220271122,2,4.5,SP,sao paulo,"Exit (Low Rev, Low Margin)",1568,1785,0.005955427807997717
028872bfa080090a9d0abd4f1af168f8,117.87,96.72,21.150000000000006,17.94349707304658,1,5.0,MG,ribeirao das neves,"Exit (Low Rev, Low Margin)",2647,2789,0.0007643361016209612
02b72cdeb9cfcc429f1af6f4e3f3b737,748.64,591.845,156.795,21.03186305887906,4,4.75,SP,ibitinga,"Exit (Low Rev, Low Margin)",1700,2421,0.004854607441397441
02c988090b766852e088c69d7fb3b551,1770.94,1301.629,469.3110000000001,25.502847397535536,12,4.583333333333333,SP,americana,"Star (High Rev, High Margin)",1147,1017,0.011483781927586536
02d35243ea2e497335cd0f076b45675d,7216.21,5253.94,1962.27,26.852398679952206,14,2.642857142857143,RN,natal,"Star (High Rev, High Margin)",487,512,0.04679400882224651
02dcd3e8e25bee036e32512bcf175493,1623.49,1220.92,402.57000000000005,24.730444032357813,13,4.076923076923077,MG,contagem,"Star (High Rev, High Margin)",1199,1307,0.010527632286592129
02ecc2a19303f05e59ce133fd923fff7,5852.32,4243.963,1608.3570000000002,27.274094663638817,21,4.619047619047619,SP,santo andre,"Star (High Rev, High Margin)",568,373,0.037949770545841886
02f5837340d7eb4f653d676c7256523a,4463.88,3298.9649999999997,1164.9150000000002,26.173153159275593,30,4.833333333333333,PR,curitiba,"Star (High Rev, High Margin)",699,755,0.028946336110153355
02f623a8eb246f3c5f7c2f96462654e6,7207.63,5294.23,1913.4,26.397449268359868,44,4.558139534883721,SP,botucatu,"Star (High Rev, High Margin)",488,663,0.04673837122360472
0307f7565ff85b299b6e5ef162b1b1a9,4968.889999999999,3555.3199999999997,1413.5700000000002,26.731113471668795,6,3.5,SP,sao jose do rio preto,"Star (High Rev, High Margin)",643,547,0.0322211081020054
034b9387752bfa309f350a70cd45ffa3,240.26,211.45999999999998,28.80000000000002,12.110998000843622,8,4.5,SC,blumenau,"Exit (Low Rev, Low Margin)",2299,2952,0.0015579824533422594
